Al,Cr,Co,Fe,Ni,PROPERTY: YS (MPa)
0.1228070175438596,0.175438596491228,0.175438596491228,0.3508771929824561,0.175438596491228,1166.0
0.2,0.2,0.2,0.2,0.2,1050.0
0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,201.0
0.2,0.2,0.2,0.2,0.2,1150.0
0.0,0.25,0.25,0.25,0.25,327.0
0.2,0.2,0.2,0.2,0.2,1250.0
0.2,0.2,0.2,0.2,0.2,1110.0
0.0526315789473684,0.2105263157894736,0.2105263157894736,0.2631578947368421,0.2631578947368421,580.0
0.1798975672215109,0.0998719590268886,0.3002560819462228,0.0998719590268886,0.3201024327784891,1129.4
0.0,0.25,0.25,0.25,0.25,335.0
0.1228070175438596,0.175438596491228,0.175438596491228,0.3508771929824561,0.175438596491228,866.0
0.2,0.2,0.2,0.2,0.2,1430.0
0.175,0.25,0.075,0.25,0.25,2033.0
0.024390243902439,0.2439024390243902,0.2439024390243902,0.2439024390243902,0.2439024390243902,366.0
0.070631970260223,0.2323420074349442,0.2323420074349442,0.2323420074349442,0.2323420074349442,550.0
0.2,0.2,0.0,0.2,0.4,774.0
0.25,0.25,0.0,0.25,0.25,1271.0
0.2,0.2,0.2,0.2,0.2,1209.0
0.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,214.0
0.2,0.2,0.2,0.2,0.2,1110.0
0.2,0.2,0.2,0.2,0.2,1380.0
0.0769230769230769,0.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,158.0
0.1678712220762155,0.1678712220762155,0.1678712220762155,0.1678712220762155,0.328515111695138,700.0
0.2,0.2,0.2,0.2,0.2,966.0
0.2,0.2,0.2,0.2,0.2,1138.0
0.2,0.2,0.2,0.2,0.2,1500.0
0.0697674418604651,0.2325581395348837,0.2325581395348837,0.2325581395348837,0.2325581395348837,841.0
0.2,0.2,0.2,0.2,0.2,1056.0
0.2727024815925825,0.2424325061358058,0.0,0.2424325061358058,0.2424325061358058,1044.0
0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,300.0
0.2,0.2,0.2,0.2,0.2,1626.0
0.2,0.2,0.2,0.2,0.2,1110.0
0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,209.0
0.0,0.25,0.25,0.25,0.25,680.0
0.1428571428571428,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,346.0
0.25,0.25,0.0,0.25,0.25,1406.0
0.0,0.0,0.5,0.0,0.5,602.0
0.0697674418604651,0.2325581395348837,0.2325581395348837,0.2325581395348837,0.2325581395348837,900.0
0.2277992277992278,0.2574002574002574,0.0,0.2574002574002574,0.2574002574002574,770.0
0.0,0.25,0.25,0.25,0.25,274.0
0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,276.0
0.2,0.2,0.2,0.2,0.2,906.0
0.1678712220762155,0.1678712220762155,0.1678712220762155,0.1678712220762155,0.328515111695138,545.0
0.0,0.1111111111111111,0.4444444444444444,0.0,0.4444444444444444,745.0
0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,211.0
0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,346.0
0.2,0.0,0.2666666666666666,0.2666666666666666,0.2666666666666666,794.0
0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,217.0
0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1100.0
0.1666666666666666,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,1420.0
0.2,0.2,0.2,0.2,0.2,1450.0
0.1188908145580589,0.1781629116117851,0.1781629116117851,0.3466204506065858,0.1781629116117851,400.0
0.2,0.2666666666666666,0.0,0.2666666666666666,0.2666666666666666,1741.0
0.1639118457300275,0.1639118457300275,0.1639118457300275,0.1639118457300275,0.3443526170798898,1154.0
0.0,0.25,0.25,0.25,0.25,494.0
0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,204.0
0.0,0.25,0.25,0.25,0.25,192.0
0.0,0.2084287677508016,0.4580852038479157,0.1667430142006413,0.1667430142006413,392.0
0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,208.5
0.238095238095238,0.1904761904761904,0.1904761904761904,0.1904761904761904,0.1904761904761904,795.0
0.2727272727272727,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,307.0
0.2,0.2,0.2,0.2,0.2,879.0
0.4299226139294927,0.1900257953568358,0.1900257953568358,0.1100601891659501,0.0799656061908856,862.0
0.024390243902439,0.2439024390243902,0.2439024390243902,0.2439024390243902,0.2439024390243902,794.0
0.2,0.2,0.2,0.2,0.2,199.0
0.0,0.25,0.25,0.25,0.25,1340.0
0.0,0.25,0.25,0.25,0.25,300.0
0.2,0.2,0.2,0.2,0.2,147.5
0.1228070175438596,0.175438596491228,0.175438596491228,0.3508771929824561,0.175438596491228,1604.0
0.0,0.0,0.5,0.0,0.5,735.0
0.25,0.25,0.0,0.25,0.25,1375.0
0.0,0.25,0.25,0.25,0.25,600.0
0.070631970260223,0.2323420074349442,0.2323420074349442,0.2323420074349442,0.2323420074349442,1289.0
0.0588235294117647,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,1660.0
0.25,0.25,0.0,0.25,0.25,556.0
0.070631970260223,0.2323420074349442,0.2323420074349442,0.2323420074349442,0.2323420074349442,843.2
0.0769230769230769,0.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,1415.0
0.15,0.2,0.2,0.2,0.25,1784.633
0.1304347826086956,0.2173913043478261,0.2173913043478261,0.2173913043478261,0.2173913043478261,635.0
0.2,0.2,0.2,0.2,0.2,1645.0
0.2,0.2,0.2,0.2,0.2,219.0
0.0,0.25,0.25,0.25,0.25,1090.0
0.2,0.2,0.2,0.2,0.2,1592.0
0.0,0.25,0.25,0.25,0.25,580.0
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,378.0
0.3,0.2,0.2,0.2,0.1,1058.0
0.0697674418604651,0.2325581395348837,0.2325581395348837,0.2325581395348837,0.2325581395348837,1399.0
0.0,0.25,0.25,0.25,0.25,1455.0
0.1794871794871795,0.2051282051282051,0.2051282051282051,0.2051282051282051,0.2051282051282051,252.0
0.070631970260223,0.2323420074349442,0.2323420074349442,0.2323420074349442,0.2323420074349442,650.0
0.0526315789473684,0.2105263157894736,0.2105263157894736,0.2631578947368421,0.2631578947368421,1726.0
0.2,0.2,0.2,0.2,0.2,1183.0
0.1428571428571428,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,640.0
0.0,0.4444444444444444,0.1111111111111111,0.0,0.4444444444444444,187.0
0.0,0.25,0.25,0.25,0.25,518.0
0.1578947368421052,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.2105263157894736,362.0
0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1836.0
0.2,0.2,0.2,0.2,0.2,983.0
0.0,0.25,0.25,0.25,0.25,366.0
0.070631970260223,0.2323420074349442,0.2323420074349442,0.2323420074349442,0.2323420074349442,1630.0
0.0,0.25,0.25,0.25,0.25,357.0
0.149402390438247,0.199203187250996,0.199203187250996,0.199203187250996,0.2529880478087649,1269.23
0.0697674418604651,0.2325581395348837,0.2325581395348837,0.2325581395348837,0.2325581395348837,1040.0
0.238095238095238,0.1904761904761904,0.1904761904761904,0.1904761904761904,0.1904761904761904,810.0
0.183673469387755,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,2012.0
0.0697674418604651,0.2325581395348837,0.2325581395348837,0.2325581395348837,0.2325581395348837,1750.0
0.070631970260223,0.2323420074349442,0.2323420074349442,0.2323420074349442,0.2323420074349442,220.0
0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.5,628.0
0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1603.0
0.2,0.2,0.2,0.2,0.2,1241.0
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,1566.0
0.3846153846153846,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.1538461538461538,1115.0
0.0,0.25,0.25,0.25,0.25,799.0
0.0588235294117647,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,1490.0
0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,765.0
0.2,0.2,0.2,0.2,0.2,1280.0
0.0,0.25,0.25,0.25,0.25,1253.0
0.0,0.0,0.0,0.0,1.0,614.0
0.0980392156862745,0.196078431372549,0.196078431372549,0.196078431372549,0.3137254901960785,556.0
0.0588235294117647,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,1495.0
0.1625874125874125,0.1625874125874125,0.1625874125874125,0.1625874125874125,0.3496503496503496,980.0
0.1749300279888045,0.1999200319872051,0.1999200319872051,0.1999200319872051,0.2253098760495801,150.0
0.2307692307692307,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.1923076923076923,814.0
0.2,0.2,0.2,0.2,0.2,1400.0
0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1109.0
0.4288164665523156,0.1427958833619211,0.1427958833619211,0.1427958833619211,0.1427958833619211,866.0
0.0804597701149425,0.2298850574712644,0.2298850574712644,0.2298850574712644,0.2298850574712644,1007.0
0.05,0.2,0.2,0.2,0.35,1959.0
0.2,0.2,0.2,0.2,0.2,1950.0
0.0,0.25,0.25,0.25,0.25,980.0
0.0,0.2,0.2,0.2,0.4,1418.0
